region,APOE,BIN1,PICALM,CLU,ABCA7,TREM2,SORL1,CD2AP,PTK2B,EPHA1,HLA-DRB1,INPP5D,ECHDC3,ZCWPW1,CD33,FERMT2,APH1B,SLC24A4,RIN3,ACE,ADAM10
Left-Cerebellum-Cortex,0.7973762601543255,0.7358941672307138,0.47909445798214045,0.9310747456444962,0.5547669648832307,0.2001030463595508,0.7933657114312211,0.27777636727667937,0.5122251443270254,0.30002598774273354,0.41946028197622687,0.42582989629679224,0.4851076561830572,0.8046567129250624,0.12393284477969427,0.2975530647738705,0.2998647218658973,0.20183135903731397,0.14474262909253383,0.08430422628018597,0.44505175973626
Left-Thalamus-Proper,0.871360567554369,0.8276605388813828,0.5666062947172491,0.9333544775421335,0.4819405652366244,0.3063670045620083,0.7634587247812691,0.1561397191106107,0.24376442703144788,0.2560411857804531,0.48130511542908694,0.6637835480305405,0.24898629946459117,0.752023952470923,0.22011508022769052,0.41953155480249055,0.3932390844065491,0.4990008998300974,0.31714875202620557,0.09269022855055452,0.44362550825099445
Left-Caudate,0.897480282884416,0.7994994454347626,0.5365629799281066,0.9356979610939016,0.3901231776375052,0.28419053375995074,0.7121232937576262,0.13217919906931688,0.1810047739459597,0.14752401626610157,0.4827299636087366,0.6284946300402245,0.1793538149790998,0.7025615704324296,0.1827923359174752,0.4142432084943384,0.3529968518892677,0.2974497244472837,0.1987985971890146,0.49070352687054175,0.46269517796267473
Left-Putamen,0.8662437727921195,0.8046719903873767,0.5703220515389487,0.918039304836025,0.4139264481272661,0.24611417087774046,0.6889016500144018,0.0954664855555549,0.15437683180621561,0.15574684028449873,0.427592615329749,0.6122956921732291,0.2312418133013045,0.6984338523260545,0.1830781919049997,0.4687998641245885,0.36823943740015247,0.5308848318977325,0.21819177391131653,0.13843028961143816,0.4542635670633042
Left-Pallidum,0.8886223372357812,0.7954740114845442,0.5869341888980415,0.9241631274381845,0.4354801736690371,0.29504857336217694,0.7363212535301835,0.14535641107772038,0.060488063499157106,0.13231205392035875,0.506407656044057,0.6826587133911808,0.2332492760887168,0.6926068998489616,0.21997455288649292,0.4753869368476877,0.3960489596740236,0.4899651662755015,0.29761144179574783,0.10456348092473432,0.45212973352261354
Brain-Stem,0.7419919148082954,0.8012792364022902,0.6131325834543988,0.842498252002537,0.42805205992255047,0.26703604503090766,0.6961305301252756,0.21832275792254432,0.07524001532026077,0.22945170132319814,0.4586234484622561,0.6979815255916452,0.1580197100976099,0.7585347724541662,0.22495528962093114,0.4050476029968993,0.4022816209538481,0.6033583032451102,0.329109340850879,0.2613086433979648,0.44580567948192934
Left-Hippocampus,0.7750836356240012,0.8179764514412813,0.5570118408834497,0.905731385193022,0.4669499748539718,0.2601385560503233,0.7721665989997533,0.13558606383304872,0.30373378814237134,0.17246108429913004,0.45718615775519184,0.6050916819673889,0.173880184448869,0.7195606333720113,0.20634553996222388,0.3737504025900373,0.3338530719684918,0.3235934250624606,0.21032354010604992,0.20092673113350618,0.42651661121093887
Left-Amygdala,0.7869496805788834,0.8204647582170269,0.5781982819715068,0.8999261945629262,0.444259284279808,0.2514305944312424,0.6351658494365149,0.0852024872330512,0.21053840212499275,0.2129666627760493,0.38927213766061386,0.591923114179467,0.31593230760169055,0.688463688939776,0.18284850002766762,0.41063966722077755,0.3412113965650294,0.6008491160847655,0.21748511012966415,0.2203451467678579,0.45929376213786904
Left-Accumbens-area,0.8863100332138463,0.7653271076081284,0.5713528490647035,0.9190096994106915,0.46986442351505897,0.25933311561301886,0.7402752027090634,0.12585411252561352,0.03149307770699389,0.13744970028606635,0.4937689839376662,0.7385175601855245,0.28847641269206153,0.6707427833918727,0.2016727815815661,0.37421071041508186,0.3956921473932285,0.35116608546966566,0.3199344719720397,0.1653388830760354,0.41147820008673397
Left-VentralDC,0.901056490465774,0.773035198530813,0.5611293886216719,0.9270224248295157,0.47307640455485495,0.3114458651683319,0.7489968329498445,0.11504227116919874,0.054101854572595906,0.20036610869357396,0.5397328283785632,0.693379419304803,0.24990655524868136,0.7026210240364658,0.2313782787871573,0.4278010218942174,0.3756846560768282,0.36882926318669595,0.29744783764937544,0.15989308412920045,0.4151958534045891
Right-Cerebellum-Cortex,0.7973762601543255,0.7358941672307138,0.47909445798214045,0.9310747456444962,0.5547669648832307,0.2001030463595508,0.7933657114312211,0.27777636727667937,0.5122251443270254,0.30002598774273354,0.41946028197622687,0.42582989629679224,0.4851076561830572,0.8046567129250624,0.12393284477969427,0.2975530647738705,0.2998647218658973,0.20183135903731397,0.14474262909253383,0.08430422628018597,0.44505175973626
Right-Thalamus-Proper,0.871360567554369,0.8276605388813828,0.5666062947172491,0.9333544775421335,0.4819405652366244,0.3063670045620083,0.7634587247812691,0.1561397191106107,0.24376442703144788,0.2560411857804531,0.48130511542908694,0.6637835480305405,0.24898629946459117,0.752023952470923,0.22011508022769052,0.41953155480249055,0.3932390844065491,0.4990008998300974,0.31714875202620557,0.09269022855055452,0.44362550825099445
Right-Caudate,0.8951947615853421,0.8035647302632991,0.5299608182643379,0.9359351365795341,0.3974739137179268,0.2773204528602503,0.7026446000183514,0.13401322033140267,0.17609770301479288,0.14619938388912596,0.46019179423950407,0.6276117458971125,0.1704842362603325,0.698859453426514,0.178122847228027,0.4235522475898373,0.3574518734759661,0.2987179270426882,0.19031424326313504,0.4740457846278661,0.46879314944817957
Right-Putamen,0.8771386910293213,0.801929757395833,0.5640842198104686,0.9228915335472413,0.4206356535058152,0.2635945222701236,0.6906344784201264,0.09757119907425982,0.16285841270584853,0.1568163653295493,0.4430438547484488,0.6127850019174241,0.23124549044699022,0.6832641917111698,0.17562946983517413,0.4850524131835511,0.3663542262355521,0.5295543597763003,0.22470858905815483,0.11718814424527245,0.44451504783823903
Right-Pallidum,0.8919482827597336,0.8095276079099856,0.586977011349529,0.9198863841871262,0.45213400783911084,0.3056645841836065,0.7638203987416126,0.11883645096504969,0.05990922438235602,0.11439716114561886,0.4860443375107851,0.6877614071936131,0.20236013108418416,0.7119451856787875,0.22515887025314224,0.45326446048537733,0.39638329005043127,0.44646995866261774,0.32660822278686447,0.12460894056304817,0.4536178408201481
Right-Hippocampus,0.7705665737547083,0.8184274957648963,0.5570118408834497,0.9013319720613102,0.4642387126773154,0.24110532832967657,0.7663901569019111,0.1352427237580173,0.2810161659506966,0.17246108429913004,0.4486582748679886,0.6050916819673889,0.20141127067161918,0.7164531882952312,0.19686230908038793,0.3753358462174465,0.3338530719684918,0.35265394071655265,0.21979000580734753,0.20390157647736173,0.42651661121093887
Right-Amygdala,0.7873075892550404,0.7992183490587602,0.5831001004222713,0.9006606752466036,0.42670392220951614,0.2593786043076488,0.6453574375901016,0.08546440772383182,0.16847277608871272,0.19348993951142449,0.4236386326372878,0.6180002890743804,0.35617334436676584,0.6730116404667746,0.21329656152092485,0.4261611941105805,0.34348053013248175,0.595611297058502,0.20359224205862353,0.16710041942883946,0.44807048900705204
Right-Accumbens-area,0.8863100332138463,0.7653271076081284,0.5713528490647035,0.9190096994106915,0.46986442351505897,0.25933311561301886,0.7402752027090634,0.12585411252561352,0.03149307770699389,0.13744970028606635,0.4937689839376662,0.7385175601855245,0.28847641269206153,0.6707427833918727,0.2016727815815661,0.37421071041508186,0.3956921473932285,0.35116608546966566,0.3199344719720397,0.1653388830760354,0.41147820008673397
Right-VentralDC,0.9054585567896577,0.77292845705628,0.5652901359129636,0.9261826276936079,0.46835478532681163,0.3237082636344033,0.7478605405717944,0.11717439920802333,0.04555414026812207,0.19898362706982098,0.5262069707180927,0.6937805702540141,0.25227124937885875,0.7017280196353405,0.22553706260953135,0.4305205540121073,0.382535595526267,0.3487245565452739,0.3062801722564169,0.15938564132832464,0.4170650960439988
ctx-lh-caudalanteriorcingulate,0.893054356322465,0.7473774889689158,0.5410433639252342,0.9410045429830312,0.3355871575187672,0.3110375939014026,0.7660309853409921,0.13649968585052974,0.1851482146114503,0.15386157877147674,0.5304201471153843,0.5967542974422343,0.07644208494509915,0.7020796055200254,0.142755789508396,0.4958406803629861,0.3241568610971233,0.38540365713558933,0.17411002857066837,0.09970711424147674,0.409135293272609
ctx-lh-caudalmiddlefrontal,0.8171261398884051,0.7599627700384253,0.5291832859365695,0.9390816827070885,0.4448215190828162,0.19880072600528287,0.8107173887243738,0.1049922686930976,0.38397780016492644,0.1551596310997983,0.4508783583831068,0.5214565791120176,0.12166275719987155,0.688926804609788,0.14958103848255705,0.3772271973413027,0.2948701647757926,0.49442839189427235,0.15659267583714911,0.16035457712051518,0.37939907102638093
ctx-lh-cuneus,0.7673129912104405,0.780471055487977,0.5975640706002653,0.9289127434127353,0.4412831458041129,0.15816400272635875,0.8270284492234712,0.07841670008579218,0.3016848973687489,0.12853102412444928,0.45971537839603294,0.5018068812562637,0.02988935288048547,0.6839844853937767,0.04773284644917996,0.373327667884913,0.32930354986766897,0.4916918938315801,0.1547840994691832,0.14555630379753398,0.4546533249651844
ctx-lh-entorhinal,0.8861424892343002,0.7776360911633897,0.49792461681852385,0.9322514129198038,0.32545448905625585,0.41661010682129973,0.7754500658025729,0.08124197121050018,0.25211222417613566,0.1617465093275961,0.5860348996781185,0.6932398239696294,0.17623731903889156,0.7375758687099829,0.3017514622598351,0.42864610773697087,0.30243626012620706,0.31188983660291547,0.20623968187864467,0.10654931048048533,0.3477251973114456
ctx-lh-fusiform,0.7915433972370769,0.7954399295563949,0.5455986431058429,0.9289569417590555,0.44337876941308546,0.16829635607413482,0.7897390393938661,0.09781486106354924,0.34873177739930955,0.07702433583899419,0.4177160002074839,0.4893991879692382,0.18801315966063406,0.6778259855189657,0.09675850369169589,0.3715092036566213,0.32235528407675873,0.46927134239167034,0.18182275358361993,0.15324522495394755,0.4197124371857007
ctx-lh-inferiorparietal,0.7928800466099519,0.8028682007321446,0.5618824399538065,0.9271590913882882,0.47041097820179467,0.17953433869644891,0.7996696985728828,0.12608347654932625,0.30093463852965063,0.16399210567366462,0.41400173928934736,0.5408114379106628,0.12870576367274716,0.7045500368350797,0.12863246970066264,0.3683567632351714,0.29304951414553404,0.5218090934380863,0.17648413772117752,0.22647183459930825,0.42733279372028754
ctx-lh-inferiortemporal,0.80458697499594,0.8002193337539669,0.5344945823828267,0.9333527798363017,0.4494014311954446,0.15681674041478774,0.7876957963819358,0.11000555523174291,0.3177639373580476,0.14540474992531488,0.411848862112342,0.5154521206584355,0.16413888150812123,0.7061016771510822,0.09069207625857192,0.3758926415361049,0.31303548855023733,0.4982884016899286,0.13796748589930502,0.1940442650800297,0.4175967833615282
