region,APOE,BIN1,PICALM,CLU,ABCA7,TREM2,SORL1,CD2AP,PTK2B,EPHA1,HLA-DRB1,INPP5D,ECHDC3,ZCWPW1,CD33,FERMT2,APH1B,SLC24A4,RIN3,ACE,ADAM10
Left-Cerebellum-Cortex,0.7397494787381924,0.7749813123058972,0.5218412082728311,0.9124399314878685,0.5651865914056559,0.16605711472106677,0.819225125344382,0.2961833720084241,0.4992444139368674,0.32697350826902044,0.38048132420591163,0.39061497858073974,0.4711423010031389,0.8337171380817536,0.16076380890163672,0.34413633148219386,0.3175590325157233,0.10887136521607424,0.09501068097289049,0.09903943166835828,0.4802745753004508
Left-Thalamus-Proper,0.7423703972090316,0.8099740667605975,0.584371043345072,0.8981673261963703,0.4683216368219265,0.30656764643751455,0.7382097180120708,0.20820665217514672,0.19136541321025524,0.2510718540497794,0.5438537392458673,0.637281115349819,0.2979703583103426,0.7775865969081985,0.2892852824153768,0.4043430028718103,0.37742571711301465,0.3396023259070907,0.17427047004822982,0.1470656544503374,0.46308620543775614
Left-Caudate,0.8531218148900364,0.7951232009155116,0.5566843970633198,0.9058821489141247,0.4096431299540889,0.2463369304432678,0.6931378973093505,0.15730951469864135,0.32027390235997133,0.1624179985394028,0.49351720320923526,0.6336814990913444,0.27010227688879307,0.7207346163660083,0.241205301186542,0.40154113251549395,0.34600218928744725,0.37947855809233355,0.12861664772644155,0.4819686282771788,0.4673717317188053
Left-Putamen,0.7415427476416835,0.810718438080585,0.5902565746062836,0.8950793182049508,0.4305444807312453,0.23633720844741324,0.6874401816455536,0.15045085942307146,0.2547853542262466,0.157167164706643,0.49592430378686003,0.6196470440185398,0.2810987735642595,0.7512385868652351,0.27342518185604536,0.4014683167048837,0.35576531361140684,0.3812674653244795,0.11519001301747672,0.32858945863785183,0.4894040737225689
Left-Pallidum,0.8171967826192746,0.7767350495055508,0.5978402911923663,0.9073068452632979,0.4655285772640877,0.26369860574553977,0.7235657305866424,0.16629644935591575,0.09043482385282972,0.15837589916663217,0.5982854394547013,0.5956781646480849,0.2969996274692223,0.7274383470951812,0.2693926718433981,0.4225969029346144,0.39189193676459483,0.39872989695602234,0.18673183337177568,0.1562948235651386,0.46412670839616377
Brain-Stem,0.7697672909396563,0.7887255531527695,0.6001000505951283,0.8995734232495943,0.4715291781764752,0.3066390630000913,0.7777564811932393,0.21619683817985277,0.06578468523478329,0.21000654549971165,0.5217317318361531,0.6561053619058541,0.24211333949449362,0.7720507478612071,0.2695413933735776,0.4470326289625209,0.36664975149266743,0.6085092202878615,0.2251840737276244,0.14578297685182884,0.4508729241185599
Left-Hippocampus,0.6691607258229142,0.80153872642572,0.5703290592926051,0.9020008692895773,0.4818936051015058,0.2051412319038713,0.8035061755679915,0.15157044867095723,0.5017839575086078,0.17442102602238194,0.3500650680003031,0.5242598338817361,0.21657407495664943,0.7303515454778913,0.19888544887148393,0.3139254130048366,0.3235855458162187,0.2628350373537129,0.13026257116923742,0.19497778395698356,0.46936019306055876
Left-Amygdala,0.8939499996998468,0.7986611243267698,0.5401365842919137,0.9277804344244635,0.43024229588143775,0.2603856295782558,0.7291127385065562,0.1714268154375892,0.2810173574159595,0.22836398051767753,0.5262440981061536,0.6518018669142371,0.39846752496358545,0.7457991422458782,0.30592641578555835,0.4679788919611313,0.3300973923684139,0.6344648172554007,0.21182426600263318,0.14825226057115057,0.45145405911281283
Left-Accumbens-area,0.791839443725183,0.7570077800600159,0.6002425929408169,0.911566516885997,0.46112377447292624,0.23179304723587513,0.7273509571783892,0.1745114578461321,0.14055941168996303,0.16790443933051458,0.5697800387871474,0.6943629882128058,0.29944837815853154,0.7101679032490331,0.2914134085011165,0.4009389678122586,0.3989228151298194,0.35797392856658516,0.18473207357205101,0.15042440923250663,0.4642985887424521
Left-VentralDC,0.8572292592324613,0.8010364081556508,0.6215953730025015,0.894151905863376,0.46340740585058915,0.30149524028280283,0.7823701061219759,0.17271789261320245,0.047965108140198,0.19765762368866044,0.5394975541451745,0.6706736282068693,0.3010056846769026,0.7715985078280174,0.2722022678086387,0.44644732930898356,0.42252172919817477,0.46064518791197073,0.19403687017547006,0.03174125217868286,0.48877867547626586
