region,APOE,BIN1,PICALM,CLU,ABCA7,TREM2,SORL1,CD2AP,PTK2B,EPHA1,HLA-DRB1,INPP5D,ECHDC3,ZCWPW1,CD33,FERMT2,APH1B,SLC24A4,RIN3,ACE,ADAM10
Left-Cerebellum-Cortex,0.7978478967368893,0.7640347178722278,0.5116879989856329,0.916021706978532,0.48254680656393867,0.2187020207197711,0.8148609780177489,0.3246480164782523,0.4282488913684882,0.33927345425623234,0.4848098787362427,0.4271387466147287,0.4769014881174661,0.8458376217065022,0.15752479243428227,0.33490094645333773,0.33091412518531566,0.15068938730580303,0.13030109462122688,0.105672012057489,0.48686009114264833
Left-Thalamus-Proper,0.7557812630761214,0.8275331773163066,0.601992358815151,0.9077641043944435,0.4780803521005317,0.3008886923742964,0.7076721620148055,0.18220455426172055,0.3616774769431794,0.2519990263720189,0.4874984437164792,0.610817223701009,0.1943079228444467,0.7714384735652847,0.20673921044785404,0.4116870907942681,0.3803178981404046,0.30974784675733824,0.19064165805896607,0.09791270644230227,0.49584278295641965
Left-Caudate,0.9067361011174254,0.8251488032555679,0.5402640920345396,0.9393730378747065,0.3689865936980742,0.3101275823969263,0.732079270049071,0.194124221523414,0.28432909183745325,0.1501670751866006,0.5507701445233011,0.6406547373036445,0.21711935843361352,0.7375654832902193,0.2387421452596,0.4555080708818027,0.37110969819157713,0.3610449284428168,0.11086992870428106,0.45742210580729226,0.5105774791565352
Left-Putamen,0.8715198003177157,0.8393359799724429,0.5952631098064471,0.9229914980736124,0.3875697427069219,0.2572660781949279,0.680237080709423,0.1684241508616313,0.24670343273506987,0.14733228638310453,0.49651431001342505,0.6258667136176631,0.2325346693929292,0.7437252896334214,0.1654431614016316,0.4123414409549406,0.3834132709726432,0.3866652838523542,0.1774294058819423,0.5258230239902006,0.5173050641635119
Left-Pallidum,0.9137049027687005,0.8549972810427722,0.5771681682967481,0.9317562786471039,0.4023136817038142,0.30618377774913313,0.7632992361456487,0.17938026390379577,0.12017513008819969,0.16418192942408702,0.5587753117484178,0.7121673247809247,0.22380001360698554,0.7593789855956238,0.2240838385808922,0.4558954063537329,0.42584449866661017,0.43705867956386274,0.23868024714302463,0.12571925091584824,0.49750812557566604
Brain-Stem,0.8075707981683032,0.8091191444662241,0.645404201745848,0.8757789632507169,0.4683039019787345,0.11219456748335987,0.6091388500067858,0.19949139903075605,0.09835688958195186,0.20634753783493498,0.41930370133880573,0.6152992595366711,0.25127285422329354,0.6701619101124494,0.027920118276082838,0.45037864022458374,0.4454567813279247,0.32072848464436415,0.23248507740882235,0.2855156328903036,0.5326590868655504
Left-Hippocampus,0.785595756056313,0.8184170470114234,0.6018512156585107,0.9110951687574347,0.4783107014897194,0.2400965766336985,0.8055378954845519,0.11756675074548611,0.44190441781336176,0.14042835290327135,0.45322688586459275,0.540173765584656,0.13639387830353553,0.7206336348770638,0.15763687145211625,0.39738503654185753,0.3475305902075555,0.3430905235254264,0.15566553567715122,0.17804468917300342,0.5160292763953153
Left-Amygdala,0.9054241689398645,0.8385243116382903,0.5596461286882595,0.9442159223510851,0.47131890314185093,0.2284169421937371,0.7066282471987874,0.13313389322547775,0.3369785207022751,0.15999132734561805,0.4526450365461373,0.5744256142058194,0.332624447003527,0.7149179616590515,0.1757360854430765,0.4890598985199356,0.35185733195367513,0.6317603967247591,0.18781997640237794,0.14473991735758365,0.5002501839486573
Left-Accumbens-area,0.8951245686537599,0.8183216853164725,0.5206679959145093,0.9341764856008956,0.46342595965137384,0.2649870107495341,0.7298859334844865,0.16973362278826282,0.1879866821143877,0.16460480568493982,0.5158722739087469,0.644137446201924,0.21850114147529565,0.710203260862628,0.19976959466095545,0.3740313913793001,0.3904224535231837,0.4783691948673574,0.19980861118865018,0.18974937305687525,0.44612334904664597
Left-VentralDC,0.8802465132725041,0.8178074542089057,0.5383273749178112,0.9173156558670956,0.47845641160191643,0.3626805967474829,0.770386069099261,0.17827482016429116,0.10785311712983495,0.2109173751315475,0.5779471207357569,0.658494385429587,0.1856867673492828,0.7690471902382474,0.23123824601435478,0.4006466328093126,0.37001796055710096,0.40779189537457045,0.23320100304180683,0.15510981124161388,0.45787576420984344
Right-Cerebellum-Cortex,0.7978478967368893,0.7640347178722278,0.5116879989856329,0.916021706978532,0.48254680656393867,0.2187020207197711,0.8148609780177489,0.3246480164782523,0.4282488913684882,0.33927345425623234,0.4848098787362427,0.4271387466147287,0.4769014881174661,0.8458376217065022,0.15752479243428227,0.33490094645333773,0.33091412518531566,0.15068938730580303,0.13030109462122688,0.105672012057489,0.48686009114264833
Right-Thalamus-Proper,0.7545197743038866,0.8296383767722498,0.6002187779478165,0.906739361186064,0.4802731067695683,0.3008697588951613,0.711555400988206,0.18561620110403196,0.3676512832579704,0.25719425545560803,0.4836492830675198,0.6096823892130451,0.1946203429110206,0.7723840982604008,0.21415784651357855,0.40808316535960476,0.3784494277367018,0.3133657224192691,0.19840250721361796,0.09512890135642883,0.49300498917669655
Right-Caudate,0.9036544830767914,0.8246393366037681,0.5402493000197919,0.9391797945062494,0.3698244483415632,0.3092337332045396,0.7328308167470343,0.19131245382110446,0.2807586855861281,0.15636747504812465,0.5513682470188486,0.6408723017101183,0.21774017190820194,0.7348100341191749,0.22621858367347042,0.4359242882829032,0.3770984899793259,0.36580148552087205,0.11689896024950763,0.4306798801949451,0.4903946726895412
Right-Putamen,0.8776395805836958,0.8407814408188785,0.5997774397088865,0.9251068901961144,0.3888596760689221,0.2835399250950481,0.6805611201051981,0.16348306643294605,0.23149994738960242,0.1469062298046966,0.5101441975812859,0.6286449042628574,0.22892333773687407,0.746348482771824,0.17443337230932043,0.44572736869174856,0.3916778035489684,0.3906460294668949,0.18555533710345773,0.501774214060107,0.5280595179846603
Right-Pallidum,0.9137049027687005,0.8549972810427722,0.5771681682967481,0.9317562786471039,0.4023136817038142,0.30618377774913313,0.7632992361456487,0.18737083476958916,0.1378612549286668,0.16418192942408702,0.5587753117484178,0.7006007584271682,0.22380001360698554,0.7593789855956238,0.2240838385808922,0.4558954063537329,0.42584449866661017,0.4358727419062515,0.23868024714302463,0.12571925091584824,0.49750812557566604
Right-Hippocampus,0.785595756056313,0.8184170470114234,0.6018512156585107,0.9110951687574347,0.4783107014897194,0.2400965766336985,0.8055378954845519,0.11756675074548611,0.44190441781336176,0.14042835290327135,0.45322688586459275,0.540173765584656,0.13639387830353553,0.7206336348770638,0.15763687145211625,0.39738503654185753,0.3475305902075555,0.3430905235254264,0.15566553567715122,0.17804468917300342,0.5160292763953153
Right-Amygdala,0.9064690748448779,0.8309817512985522,0.5694571180625133,0.9442789690493866,0.46127614283960117,0.2321628855639985,0.7079911215716085,0.13330010040099508,0.350918075554601,0.16512235531922723,0.45880496136229126,0.577374364369349,0.34310391641327753,0.7124604820174449,0.17837490632354436,0.5002021465951387,0.3548620040406136,0.5942014452117274,0.1955456299288851,0.16300375843890028,0.5023764381637545
Right-Accumbens-area,0.8969700077372936,0.8332076559265419,0.5384480217569961,0.934649358390604,0.4586924794671161,0.2834303987506629,0.7360091924077794,0.1729520470168316,0.14431602835146,0.1630239184089819,0.5284779108677045,0.6298292250116901,0.178974021555331,0.7203978401360687,0.20414312134644838,0.3594082978779323,0.39628736504138695,0.4344399256309381,0.19366738157444185,0.21251313443314207,0.44785708599708607
Right-VentralDC,0.8823909912245586,0.8165992543975029,0.5340037281441421,0.9182966104862245,0.4749971306474478,0.35172004792247663,0.7684979110302352,0.17259667228777723,0.10849242143057311,0.20739509541087867,0.5774453878913491,0.6591381571760107,0.1858138739873412,0.7640099260622897,0.2211479869246998,0.3957187024342658,0.3720449626398182,0.4113463507473771,0.2252054587907417,0.15801558517179282,0.4536444136721517
ctx-lh-caudalanteriorcingulate,0.8305261163584562,0.8234002390774576,0.5765295227497018,0.9413077079358776,0.3564412603808126,0.37200957311374205,0.805993174375148,0.16452352851184374,0.2581818780138378,0.17915572048597686,0.6213409530480064,0.6616827609852048,0.22620003307718367,0.77599932618308,0.26595933856944476,0.48149513932221916,0.33637495744696233,0.4452168280430095,0.1681806023173473,0.24337647119325415,0.4639318874110347
ctx-lh-caudalmiddlefrontal,0.7227619272991483,0.81722144218031,0.5526483746336271,0.9309478922237888,0.4164989935258087,0.2666869956936941,0.8375392506755217,0.16323270782766744,0.36868562928091897,0.13846358909468767,0.5215418653951317,0.5964960070644822,0.1587489175973537,0.7603724575634977,0.2153790479967269,0.3597190170532857,0.31234579017128505,0.5276862316449397,0.12645810141230726,0.22474977917733355,0.43981627327209105
ctx-lh-cuneus,0.6212522696430403,0.8294199860078382,0.5345736412924984,0.9109320346129776,0.45568774137599033,0.2582289350866976,0.8496854051672424,0.18058980061643196,0.4158751696404109,0.14692024574455884,0.519528682635989,0.6048830724724635,0.14557038883186615,0.7539976159938984,0.17748374946530834,0.31968317661911483,0.31993574400335384,0.5966426439912631,0.11831269654002514,0.16504827576030276,0.3794594362095721
ctx-lh-entorhinal,0.8770684418628149,0.822508532177092,0.5526292471699625,0.9438940484052679,0.3984202639222328,0.34611126777679496,0.7935646823699766,0.13242702585973576,0.3147519032137239,0.1406722417940392,0.5942978940417177,0.6322510356474986,0.24965132877667592,0.7379163200852268,0.22642548679807142,0.4712750122739809,0.3454495738618557,0.4523729006936527,0.1657978689073377,0.161123181885213,0.46442000623542096
ctx-lh-fusiform,0.745727916891668,0.8309984286774904,0.5418018332845136,0.9242359632678542,0.4243433368476905,0.260901399966481,0.8343639489647756,0.14990136847089613,0.36018446681445515,0.1442270208879528,0.5201156175395423,0.5694596911394052,0.23712936610389101,0.7573035911120926,0.19494918600150016,0.37898064257005504,0.3174664577097385,0.5307081501333715,0.14271298591001538,0.20717555778931807,0.43483825727281633
ctx-lh-inferiorparietal,0.628178781115411,0.8054359224006675,0.5247472076709542,0.9188074675529392,0.44145413588990867,0.257052138671474,0.8469300072706373,0.17843106977834694,0.3813784740238204,0.1621633786252429,0.5181234066954313,0.5966661700000278,0.13241549296734023,0.7488235128086362,0.1807628329180866,0.30830360663210343,0.3017467952594219,0.5522026301886696,0.11614761956791116,0.2240636198897373,0.422406459772486
ctx-lh-inferiortemporal,0.789328718492059,0.8096566660727793,0.534850767313537,0.9308665861855351,0.3942548902186492,0.27075555191894296,0.8245626354671253,0.15263714198233397,0.34584857977123784,0.1394300065623178,0.5108935313553415,0.5752251090769032,0.22174277566673264,0.7415719212026911,0.20677839147087315,0.39128404149332563,0.29300018003436373,0.5362866934704905,0.1304678031914118,0.22000298095814205,0.4282123415984156
ctx-lh-isthmuscingulate,0.6800179598836672,0.8108926005548206,0.5956162993396837,0.9128868537068456,0.42749783704293437,0.22563218761694398,0.8269067158564206,0.15885094625507548,0.4049927560915326,0.14699342492486106,0.4756098168554688,0.5476542630309584,0.17525501454753,0.7529052373529436,0.18875048351733464,0.33875432556016616,0.3218554507318519,0.33038470208725057,0.1231210360262844,0.2355707970823602,0.53410710844918
ctx-lh-lateraloccipital,0.6405888559954402,0.8146252846011952,0.5406731596882124,0.9146419362461579,0.45280586769948805,0.27624546559180774,0.8540622550657725,0.16623813092660109,0.40230697835737333,0.15685497493949624,0.5292754878337926,0.6118275180638515,0.12489656763161298,0.7441317790874871,0.17301522529882857,0.3262406748681369,0.3145547149057842,0.5710692836305598,0.13267436574482075,0.24347562455779181,0.4241223379797382
ctx-lh-lateralorbitofrontal,0.7491871760969142,0.8197951976403774,0.5571351073158406,0.9213723483029215,0.4007506350928409,0.3305919501184656,0.8095338965678305,0.16414264856546512,0.3330507823317168,0.16895617465679358,0.5489259094896097,0.6005222290871377,0.2391617460455306,0.7590151746330847,0.23855843294296541,0.3818873463218695,0.34400510815885554,0.5268019759309741,0.15225151695212658,0.17740377163176663,0.4392317091246297
ctx-lh-lingual,0.5817560383539712,0.8252187963793296,0.5553039450268055,0.90635262977315,0.44225899310543465,0.18878960280851098,0.846779295628237,0.18438432347560318,0.38135493507487395,0.15677705276307577,0.4689991331535406,0.6077126645596178,0.13285683091084433,0.752146256288697,0.17808145630667535,0.34991937195344136,0.32310540645955954,0.5741776460756589,0.12919972021623757,0.23143909000819735,0.44055945657341306
ctx-lh-medialorbitofrontal,0.7731320725217761,0.8221521515427387,0.5347780423555835,0.9347123276475197,0.3868045070606411,0.32031385507229987,0.8211705062316301,0.1490063773304332,0.36939152891141164,0.15710215079314846,0.5638954447803542,0.5953374925723748,0.2896459231757643,0.7383338544993088,0.2347349255202565,0.38663941227485965,0.32625561529335606,0.5742267648611693,0.1618113708175184,0.20694672593737748,0.41257152661691504
ctx-lh-middletemporal,0.7146026435156219,0.8204270705688842,0.5458721282316449,0.9213665535659851,0.4018045390323405,0.22861334534889213,0.8381068223469489,0.157640168632031,0.34234661025278845,0.15302991855891154,0.48511155612588625,0.5798304495739119,0.18563304327282884,0.7650413440780462,0.18337316541650756,0.36952773093039737,0.3012872042176884,0.5122902338574543,0.1091050617270754,0.21779479524537118,0.44127557687122326
ctx-lh-parahippocampal,0.7901312310815364,0.8102795267882619,0.5543245786601455,0.9310891445673266,0.4327218786255972,0.2583628811764777,0.8137332653976139,0.11254926441500473,0.3544988285941246,0.11655279249466086,0.528018404165385,0.5637917141741532,0.25058434733500096,0.7136501702135672,0.19192481675098255,0.41257805657989566,0.30293252490035766,0.5039176514238279,0.15588059533747164,0.18278425914042618,0.4719193550078539
ctx-lh-paracentral,0.702579394192679,0.798568104028177,0.5455631649398565,0.929462598429037,0.424320813339873,0.290658796431775,0.8400777686317412,0.19130364278682627,0.39214559857998726,0.17737442130364234,0.557783215117752,0.5931232765875827,0.13753236634529875,0.7529578811059185,0.1980701007587492,0.35892476703635695,0.31088034079194105,0.515054385003996,0.10576972164856771,0.2799061272587411,0.4336168021646125
