region,APOE,BIN1,PICALM,CLU,ABCA7,TREM2,SORL1,CD2AP,PTK2B,EPHA1,HLA-DRB1,INPP5D,ECHDC3,ZCWPW1,CD33,FERMT2,APH1B,SLC24A4,RIN3,ACE,ADAM10
Left-Cerebellum-Cortex,0.749509793444695,0.7401055886166832,0.5868399104012858,0.8940234550563388,0.49152805039435754,0.09236896170292727,0.7982354889508494,0.2940794269544318,0.2963157167442264,0.36985502995970365,0.26775564413397124,0.3619350057057169,0.4405724148486251,0.8265528606474295,0.08062607498698567,0.39577912662240466,0.31464871446552056,0.24236195690349574,0.1659511602052458,0.041568583680961974,0.5635148760628925
Left-Thalamus-Proper,0.8759150070123339,0.7854028126643046,0.6393438937206335,0.9027059748220159,0.3971414116232588,0.12515212661982467,0.7417281335158308,0.10140803067806715,0.16440920735539455,0.27016227700192347,0.32324921650538624,0.5392973370257995,0.13879667124981787,0.7468029994566865,0.12783267544103358,0.535966160071416,0.3605609029749207,0.4095981961087573,0.26820185397227164,0.04496863862390642,0.5191173494118462
Left-Caudate,0.9036064844877476,0.7543580968371009,0.6139847347708529,0.9216182758045541,0.34034042953682314,0.08532414397982496,0.6742110739607236,0.16824290089513066,0.1540933833461662,0.18674194770855873,0.32668269416261037,0.611132699030223,0.17268055546102273,0.7107613420037879,0.12253691397736664,0.513146254817535,0.31761554631158434,0.2776622609786916,0.13028910149182532,0.4674637034140293,0.5523389780178842
Left-Putamen,0.8689178552567123,0.7348878950974053,0.6041430705071715,0.8939104980187074,0.34623233509033563,0.08327002933219414,0.6740195153161604,0.09183260472419759,0.15319971884655134,0.16651454955774422,0.3195673576547661,0.5699587627457899,0.15435527835032642,0.7166078791686764,0.09108234093100846,0.5072093806479427,0.3103097406322052,0.38833664914985977,0.12709961757598137,0.2626470856751418,0.5306797707735965
Left-Pallidum,0.9034872174993813,0.7835320829721089,0.6587387241574509,0.9110270032815672,0.30998795811906277,0.1313668122405266,0.7405564403938866,0.13600377289377313,0.06423088477516757,0.17254559346462145,0.3688519559747596,0.6094482320251564,0.13231813887447297,0.7610495572953211,0.155411572968652,0.574995486016076,0.35094151415077,0.3991853081932464,0.1879379708431431,0.06823967902946652,0.5613188385803378
Brain-Stem,0.8031923252373413,0.7687608350867644,0.6365756212801202,0.8854489279206038,0.40612492585210447,0.13604974969634365,0.7492567990738607,0.1555241166091179,0.04673272713470266,0.211168004399731,0.3946847013151023,0.5842569343005956,0.15974838704119515,0.7570811575466787,0.18035411024289982,0.5024518518806962,0.36590693576862465,0.5272112232086332,0.24804938570369642,0.07456916270125834,0.49341794651368726
Left-Hippocampus,0.7461261638334611,0.7799204618857098,0.5968141123802782,0.8497796074466407,0.4522719911978204,0.08543893013038864,0.7200550022584926,0.06909106076913518,0.31070313660066273,0.16003676498139432,0.2735611392295036,0.41466617992787375,0.10520788868915323,0.6941156941982214,0.0768894228072204,0.45709492886235736,0.28657689639190487,0.2542943120379716,0.18261064799486232,0.05513626222038699,0.5006292788992384
Left-Amygdala,0.8770069045171791,0.7624628538675944,0.5941910745302396,0.9097867524677342,0.3843170540841798,0.17149517437776096,0.6923590603660436,0.08622987754411775,0.1768827306661338,0.1684769483074115,0.3756057851108933,0.4956090142846284,0.1258093953537777,0.7051883983238918,0.19381970118549094,0.6510962123107682,0.3259825330369814,0.5314127271356051,0.20128968166297453,0.04233298840669523,0.4878389800992472
Left-Accumbens-area,0.8864462461530582,0.7234584480675081,0.5855875038422096,0.9053525394703895,0.3286655155381567,0.01493144240673795,0.6819030881021884,0.13367917504356122,0.21102211000821042,0.20315996798092897,0.2571165306588664,0.5058221598370802,0.25009204743810853,0.6993018632674616,0.05543191393954665,0.5109461035472127,0.33143974874797,0.5111047233602063,0.15247506748923073,0.3504685085514063,0.5288045843119461
Left-VentralDC,0.8770092216341843,0.7631962900995195,0.6277010961192699,0.8982882037427591,0.4172462067425139,0.13581671944096366,0.7480552028681074,0.08882329418052343,0.09800385975340899,0.21288491519522712,0.37866173754461296,0.5714752443364128,0.13272345669038624,0.7225176608104651,0.14654250037622485,0.5257405357476334,0.33650961545104,0.41611774150340586,0.2615629662561464,0.060616032312693024,0.48604216999751504
Right-Cerebellum-Cortex,0.7504028518920365,0.7402169361377898,0.5878483023165731,0.8944864550592422,0.4875083761791541,0.09360394906373133,0.7970870191570166,0.2917307006482065,0.295845304224725,0.3686364022288042,0.2680974370722042,0.3628537778417848,0.4342760735843545,0.8248449308638853,0.08335484704009888,0.3964487270869414,0.31482661749340873,0.24466892433691106,0.16627191164806585,0.04838069789555279,0.561404704535443
Right-Thalamus-Proper,0.8753268151191818,0.7875144851810567,0.6438228515126312,0.9025247620962285,0.40127965218247574,0.1260478317720384,0.7440039457959673,0.10138446394894612,0.16474892886795772,0.2743984900907068,0.3232110784909239,0.5363992513733324,0.1432352936997765,0.7468795571407512,0.12817212780392123,0.5370164036045382,0.36251639407303615,0.41155225078779534,0.275910646894703,0.044402026302789846,0.5185185029219559
Right-Caudate,0.902598767498144,0.7524811618466966,0.6139847347708529,0.9207978068824938,0.3391266177958784,0.08837422487211896,0.6750306695824284,0.1758483178252137,0.15432472418483828,0.1803236068251351,0.3413903350883616,0.611132699030223,0.17268055546102273,0.7122588005684894,0.12253691397736664,0.513146254817535,0.31761554631158434,0.28483038461252747,0.13564392023624056,0.45723725245310143,0.5523389780178842
Right-Putamen,0.8689178552567123,0.7337680987686546,0.6049269237176599,0.8917961790033736,0.34623233509033563,0.08111027968728463,0.670565513081728,0.09183260472419759,0.13890957323067513,0.16651454955774422,0.3195673576547661,0.5751353068469218,0.15435527835032642,0.7166078791686764,0.09856000196301108,0.5072093806479427,0.3079726464113124,0.3768890930121465,0.12356330279635051,0.2626470856751418,0.5343794167154954
Right-Pallidum,0.9035468195951708,0.7848589189806734,0.6533975972668131,0.9115623252172966,0.3252180028717729,0.12946164303070204,0.7373193106068848,0.14072406816887278,0.07366290874415854,0.1726293555047363,0.3583187747505384,0.5972604245491131,0.134567487248711,0.7584594327339736,0.1526541985518934,0.568724796346985,0.35887730261057665,0.38846315583122154,0.18636299495640288,0.08880841835434113,0.5528380237524728
